title,oldUrl,category,action,targetPath,contentType,persona
Application builder overview,/t/60h9qpx/application-builder-overview,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,overview,shared
Creating an application,/t/m1h9qp8/creating-an-application,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Accessing an application,/t/g9h9qp3/accessing-an-application,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Working with Resource Manager in Apps,/t/35yq9jg/working-with-resource-manager-in-apps,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Board metrics in apps,/t/y4yqa0d/board-metrics-in-apps,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Running an application,/t/35h9qpz/running-an-application,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Managing apps,/t/y4h9qpt/managing-apps,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Application deployment,/t/83h9qpm/application-deployment,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Application settings,/t/p8h9qpy/application-settings,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
App developers,/t/h7h9qph/app-developers,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Using variables in application development,/t/35h9qpq/variables-in-app-development,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Variables and parameters in application development,/t/y4h9q1v/variables-and-parameters-in-application-development,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Application roles,/t/83h9q19/application-roles,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Role permissions,/t/x2h9q14/role-permissions,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Icon,/t/m1h9q1c/icon,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Columns,/t/60h9q1a/columns,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Button,/t/g9h9q10/button,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Creating custom components,/t/p8h9q1s/creating-custom-components,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Container,/t/h7h9q17/container,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Kissflow Process connector,/t/h7h4akh/kissflow-process-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/kissflow-process-connector,reference,citizen-developer
Image,/t/q6h9q1n/image,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Kissflow Dataset connector,/t/h7h4af7/kissflow-dataset-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/kissflow-dataset-connector,reference,citizen-developer
Tab,/t/y4h9q1w/tab,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Kissflow Board connector,/t/83h4af4/kissflow-board-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/kissflow-board-connector,reference,citizen-developer
Label,/t/83h9q1d/label,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Kissflow user details connector,/t/g9h4ak3/kissflow-user-details-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/kissflow-user-details-connector,reference,citizen-developer
